,Name,Industry
0,AMBEY IRON PRIVATE LIMITED,Mining
1,AML BUSINESS SOLUTIONS PRIVATE LIMITED,Retail Trade
2,AZENTIO SOFTWARE PRIVATE LIMITED,Services
3,BARENTZ INDIA PRIVATE LIMITED,Wholesale Trade
4,CAPOVITEZ PRIVATE LIMITED,Manufacturing
5,CASTLE ROCK FISHERIES PRIVATE LIMITED,Public Administration
6,CLICKTECH RETAIL PRIVATE LIMITED,Retail Trade
7,COVERTEK CERAMICA PRIVATE LIMITED,Manufacturing
8,CREDAVENUE SECURITIES PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
9,D P JAIN TOT TOLL ROADS PRIVATE LIMITED,Construction
10,DANSY LABS PRIVATE LIMITED,Services
11,DAWNTECH ELECTRONICS PRIVATE LIMITED,Retail Trade
12,DESH AGRO PRIVATE LIMITED,Mining
13,DHIRENDRA SOYA AGRO PRIVATE LIMITED,Mining
14,DOIT SMART HOSPITALITY (INDIA) PRIVATE LIMITED,Retail Trade
15,DREAMPLUG PAYTECH SOLUTIONS PRIVATE LIMITED,Services
16,EFC (I) LIMITED,"Finance, Insurance, and Real Estate"
17,ENTIRE ESTATES PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
18,FAIRFOX ITINFRA PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
19,FEDORA SEA FOODS PRIVATE LIMITED,Public Administration
20,FEEL FRESH FOODS PRIVATE LIMITED,Manufacturing
21,FORERUN SYSTEMS PRIVATE LIMITED,Services
22,GACL-NALCO ALKALIES & CHEMICALS PRIVATE LIMITED,Manufacturing
23,GHAZIABAD WATER SOLUTIONS PRIVATE LIMITED,"Transportation, Communications, Electric, Gas, and Sanitary Services"
24,GOLDEN CARAT PRIVATE LIMITED,Manufacturing
25,GOLDI SUN PRIVATE LIMITED,"Transportation, Communications, Electric, Gas, and Sanitary Services"
26,GREENPLY SANDILA PRIVATE LIMITED,Manufacturing
27,HIMALAY PAPTECH PRIVATE LIMITED,Manufacturing
28,INFINITY VEHICLES PRIVATE LIMITED,Retail Trade
29,ISPAT PROFILES INDIA LTD,Manufacturing
30,JAES PROJECTS (I) PRIVATE LIMITED,Services
31,JINDAL LIFESTYLE LIMITED,Manufacturing
32,JINDAL PETROLEUM PRIVATE LIMITED,Mining
33,JSW NEO ENERGY LIMITED,"Transportation, Communications, Electric, Gas, and Sanitary Services"
34,KRISHNA AUTOTECH INDIA PRIVATE LIMITED,Wholesale Trade
35,MACHEM INDIA PRIVATE LIMITED,Manufacturing
36,MALPANI PARKS PRIVATE LIMITED,Services
37,MAWSIM GOLD PRIVATE LIMITED,Manufacturing
38,NGC TRANSMISSION CHENNAI PRIVATE LIMITED,Manufacturing
39,OBEROITEL IVR PRIVATE LIMITED,Services
40,OCTAVE CLOTHING PRIVATE LIMITED,Manufacturing
41,PGP GLASS PRIVATE LIMITED,Services
42,PUNEET CARS PRIVATE LIMITED,Services
43,RETAILEZ PRIVATE LIMITED,Services
44,ROSENBERGER INTERCONNECT INDIA PRIVATE LIMITED,Manufacturing
45,ROSTRUM REALTY PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
46,S3 INFRABUILD PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
47,SAHYADRI FARMS POST HARVEST CARE LIMITED,Unknown
48,SATYAM SILK MILLS LIMITED,"Finance, Insurance, and Real Estate"
49,SHREM INFRA INVEST PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
50,THIRD EYE FACILITATORS PRIVATE LIMITED,Services
51,WAVIN INDIA PIPES AND FITTINGS MANUFACTURING PRIVATE LIMITED,Manufacturing
