,BVD,Name,SIC,Industry,RG
79,IN34395FI,SWADESHI POLYTEX LIMITED,6531.0,"Finance, Insurance, and Real Estate",148.47540567510626
1,IN0000378878,ADANI HARBOUR SERVICES LIMITED,4412.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",4.982659378867889
63,IN0016129782,UC INCLUSIVE CREDIT PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",2.7992398481316276
58,IN0014891199,P.P. JEWELLERS RETAIL PRIVATE LIMITED,5944.0,Retail Trade,1.5964609130753062
56,IN0014381987,FUJI SILVERTECH CONCRETE PRIVATE LIMITED,3272.0,Manufacturing,1.0750782390948628
60,IN0015595493,TEKION INDIA PRIVATE LIMITED,7378.0,Services,0.9914805078190679
62,IN0015803827,AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,Services,0.7030641340291964
45,IN001037176IND,AFFLE (INDIA) LTD,7319.0,Services,0.6246722201494047
49,IN001244972IND,DREAMFOLKS SERVICES LIMITED,5085.0,Wholesale Trade,0.6125244314397493
51,IN0012915182,WOOD GROUP PSN INDIA PRIVATE LIMITED,1311.0,Mining,0.5660185052460709
28,IN0005705961,TRAVEL DESIGNER INDIA PRIVATE LIMITED,4724.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.554882384399265
83,IN999003FI,ADANI GREEN ENERGY LIMITED,4931.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5514570629429624
64,IN0016583947,DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,Manufacturing,0.5216903924977779
0,IN0000277918,TATA MOTORS INSURANCE BROKING AND ADVISORY SERVICES LIMITED,5013.0,Wholesale Trade,0.5114424119192028
27,IN0005444635,ICE MT INDIA PRIVATE LIMITED,7375.0,Services,0.4586537483150076
67,IN117688FI,SHISH INDUSTRIES LIMITED,3089.0,Manufacturing,0.4554164874008287
43,IN0010067272,MASHREQ GLOBAL SERVICES PRIVATE LIMITED,7371.0,Services,0.4491475674107287
39,IN0008921901,TATA POWER RENEWABLE ENERGY LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.44235366357454814
74,IN31937FI,GMM PFAUDLER LIMITED,3569.0,Manufacturing,0.40163186383885874
59,IN0015195503,VOLKSWAGEN GROUP TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,7375.0,Services,0.3967266273654499
21,IN0003909984,INVESTEC CAPITAL SERVICES (INDIA) PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.33302320738955166
15,IN0002947248,NXP INDIA PRIVATE LIMITED,7375.0,Services,0.33060305829275133
34,IN0006528987,RECAERO INDIA PRIVATE LIMITED,3511.0,Manufacturing,0.32928061074808607
20,IN0003893143,INTERGLOBE TECHNOLOGY QUOTIENT PRIVATE LIMITED,7389.0,Services,0.32047722187176897
57,IN0014544156,FIRSTRAND SERVICES PRIVATE LIMITED,7371.0,Services,0.31681015967599757
54,IN0013012997,GML INDIA FASHION PRIVATE LIMITED,5131.0,Wholesale Trade,0.3099854975962421
70,IN30407FI,TRENT LIMITED,5999.0,Retail Trade,0.3076898115817575
52,IN0012919766,SAWANSUKHA JEWELLERS PVT LTD,5094.0,Wholesale Trade,0.3000288059705115
44,IN0010258883,CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2972755892039243
53,IN0012980761,PRICEWATERHOUSECOOPERS SERVICE DELIVERY CENTER (BANGALORE) PRIVATE LIMITED,7375.0,Services,0.2922985048856633
2,IN0000399919,CONVERGINT INDIA PRIVATE LIMITED,3669.0,Manufacturing,0.2910770227612726
48,IN0012153694,ALLEGION INDIA PRIVATE LIMITED,8721.0,Services,0.28911081246991666
76,IN32515FI,SAFARI INDUSTRIES (INDIA) LIMITED,2821.0,Manufacturing,0.288469359995508
35,IN0006617014,COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,Services,0.2861082945406511
37,IN0006826084,RISHABH SOFTWARE PRIVATE LIMITED,7371.0,Services,0.28541571273646554
68,IN117718FI,BETA DRUGS LIMITED,2834.0,Manufacturing,0.28220069630825345
38,IN0007429914,NNE PRIVATE LIMITED,5085.0,Wholesale Trade,0.2801564119474046
72,IN31219FI,ALUFLUORIDE LIMITED,3355.0,Manufacturing,0.27464811792153226
33,IN0006201883,SOLAS MARINE SERVICES PRIVATE LIMITED,7699.0,Services,0.2685833931597784
4,IN0000416362,ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,Services,0.26797359718195757
3,IN0000406739,AAVANTIKA GAS LIMITED,4922.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.26071001780795094
25,IN0005076344,WSP CONSULTANTS INDIA PRIVATE LIMITED,7371.0,Services,0.2593885584825262
13,IN0002884949,FLEXIBLE STEEL LACING COMPANY PRIVATE LIMITED,8712.0,Services,0.2587128728176724
5,IN0001060236,AKRY ORGANICS PVT LTD,2869.0,Manufacturing,0.2535477898687444
11,IN0002582748,EQUIFAX CREDIT INFORMATION SERVICES PRIVATE LIMITED,7374.0,Services,0.24963017487829436
9,IN0001994123,CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,Manufacturing,0.24756612978182208
7,IN0001890652,CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,Wholesale Trade,0.23862149143391795
23,IN0004698613,KPMG RESOURCE CENTRE PRIVATE LIMITED,8742.0,Services,0.23599865129367353
55,IN0013530276,SIDWAL REFRIGERATION INDUSTRIES PRIVATE LIMITED,3564.0,Manufacturing,0.23179707819903997
22,IN0004121041,JEWELLERY GARDEN PRIVATE LIMITED,3312.0,Manufacturing,0.23006534161841416
41,IN0009236639,MARELLI MOTHERSON AUTOMOTIVE LIGHTING INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.23002216607083018
12,IN0002715871,EXPERT GLOBAL SOLUTIONS PRIVATE LIMITED,7375.0,Services,0.2225636437726589
50,IN0012737293,SHRUTI FASHIONS PRIVATE LIMITED,2281.0,Manufacturing,0.22006986458440064
16,IN0003117973,GENESIS LA MODE PRIVATE LIMITED,5199.0,Wholesale Trade,0.21983790077667273
81,IN35895FI,G.G AUTOMOTIVE GEARS LIMITED,5013.0,Wholesale Trade,0.20787867201968896
78,IN33983FI,INTEGRA ENGINEERING (INDIA) LTD,3559.0,Manufacturing,0.20563144619405266
32,IN0005942633,SGS TEKNIKS MANUFACTURING PRIVATE LIMITED,3648.0,Manufacturing,0.20561138754307956
24,IN0004753014,KRONOS SOLUTIONS INDIA PRIVATE LIMITED,3571.0,Manufacturing,0.20118631416744095
46,IN0010544635,VIVA COMPOSITE PANEL PRIVATE LIMITED,3499.0,Manufacturing,0.2007320971613675
61,IN001576308IND,AVENUE SUPERMARTS LIMITED,5999.0,Retail Trade,0.1904534066136541
30,IN0005725289,TRESVISTA FINANCIAL SERVICES PRIVATE LIMITED,8742.0,Services,0.19040365877434753
42,IN0009627171,SUYOG ELECTRICALS LIMITED,3679.0,Manufacturing,0.18940130585068035
82,IN897186FI,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,3711.0,Manufacturing,0.18864854407794868
80,IN34666FI,CANTABIL RETAIL INDIA LIMITED,2399.0,Manufacturing,0.18813843671186728
31,IN0005751143,TRIPURA NATURAL GAS CO LTD,2999.0,Manufacturing,0.1861901064532392
40,IN0009230891,V 2 TECH VENTURES PRIVATE LIMITED,7389.0,Services,0.18272820907182655
29,IN0005712638,TRELLEBORG INDIA PRIVATE LIMITED,3069.0,Manufacturing,0.1807944203614956
6,IN0001689983,BITZER INDIA PRIVATE LIMITED,7389.0,Services,0.1801833758549709
73,IN31297FI,KINGFA SCIENCE & TECHNOLOGY (INDIA) LTD.,3087.0,Manufacturing,0.17664732955349377
19,IN0003702166,IGUS (INDIA) PRIVATE LIMITED,3567.0,Manufacturing,0.16760843517132312
8,IN0001920959,CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,Manufacturing,0.16239700856478995
75,IN31980FI,RACL GEARTECH LTD,7549.0,Services,0.1610167100418039
77,IN33307FI,GOODLUCK INDIA LTD.,3317.0,Manufacturing,0.1578502389298712
26,IN0005321788,VIJAY TECHNNOCRATS PRIVATE LIMITED,3321.0,Manufacturing,0.15647479909781167
17,IN0003135598,GEP SOLUTIONS PRIVATE LIMITED,7375.0,Services,0.15575612030845698
14,IN0002929409,FOSROC CHEMICALS (INDIA) PRIVATE LIMITED,2813.0,Manufacturing,0.14475646553364535
47,IN0011045441,SAR HEALTH LINE PRIVATE LIMITED,8062.0,Services,0.14429787083946902
71,IN30982FI,KEI INDUSTRIES LIMITED,3357.0,Manufacturing,0.14269865192510703
36,IN0006638753,RIELLO POWER INDIA PRIVATE LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.1321827847002411
18,IN0003197626,GLOBETROTTERS EDUCATIONAL INNOVENTIONS PRIVATE LIMITED,8299.0,Services,0.1247911890517264
65,IN117411FI,NARAYANA HRUDAYALAYA LIMITED,5047.0,Wholesale Trade,0.12147538643804481
66,IN117606FI,PARMESHWARI SILK MILLS LTD,2299.0,Manufacturing,0.097810619541176
10,IN0002383728,DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,Construction,0.09725439557141605
69,IN30240FI,UNITED BREWERIES LIMITED,2082.0,Manufacturing,0.06271278216796318
